name,navicode,latitude,longitude,type
스타벅스 마곡사이언스타워R,3232A104,37.5605261,126.833887,1
스타벅스 방화DT,3232A105,37.57445683,126.8164881,1
스타벅스 마곡나루역,3232A106,37.56813,126.82614,1
스타벅스 마곡GMG,3232A107,37.560487,126.829667,1
스타벅스 가양역,3232A108,37.56164,126.853327,1
스타벅스 화곡DT,3232A109,37.53501075,126.863188,1
스타벅스 양천향교역,3232A110,37.566964,126.840731,1
스타벅스 화곡동,3232A111,37.54061902,126.837388,1
스타벅스 등촌,3232A112,37.5582043,126.8443392,1
스타벅스 염창역,3232A113,37.547359,126.874436,1
스타벅스 발산역,3232A114,37.56030145,126.8391335,1
스타벅스 까치산역,3232A115,37.53232351,126.8461233,1
스타벅스 염창대로,3232A116,37.54854791,126.8782593,1
스타벅스 발산역5번출구,3232A117,37.55792247,126.8405403,1
스타벅스 화곡역8번출구,3232A118,37.54227921,126.8393,1
스타벅스 강서우장산,3232A119,37.54661115,126.8361133,1
스타벅스 등촌대로,3232A120,37.55049218,126.8665096,1
스타벅스 가양역사거리,3232A121,37.56007,126.855372,1
스타벅스 내발산,3232A122,37.55467,126.83672,1
스타벅스 마곡웰튼,3232A123,37.56714289,126.8253152,1
스타벅스 김포공항DT,3232A124,37.56627942,126.8060664,1
스타벅스 강서NC,3232A125,37.560088,126.840534,1
스타벅스 마곡나루공원,3232A126,37.567007,126.822246,1
스타벅스 송정역,3232A127,37.56105571,126.8115099,1
스타벅스 강서구청사거리,3232A128,37.5549266,126.8523133,1
스타벅스 낙성대역,3232A129,37.47776013,126.9611426,1
스타벅스 관악서울대입구R,3232A130,37.47932481,126.952702,1
스타벅스 신림DT,3232A131,37.480935,126.908407,1
스타벅스 서울대역,3232A132,37.48166265,126.9520165,1
스타벅스 낙성대DT,3232A133,37.47624317,126.9651172,1
스타벅스 사당,3232A134,37.476137,126.980928,1
스타벅스 보라매대교,3232A135,37.491449,126.925432,1
스타벅스 신림,3232A136,37.48609493,126.9291602,1
스타벅스 신림타임스트림,3232A137,37.48407102,126.9302583,1
스타벅스 서울대입구역,3232A138,37.48120739,126.9514006,1
스타벅스 서울대입구역8번출구,3232A139,37.4812061,126.9536942,1
스타벅스 봉천역,3232A140,37.48203753,126.9422878,1
스타벅스 건국대,3232A141,37.5415592,127.0711244,1
스타벅스 어린이대공원역,3232A142,37.551946,127.076404,1
스타벅스 아차산역,3232A143,37.55062116,127.0900321,1
스타벅스 올림픽대교북단,3232A144,37.541129,127.09524,1
스타벅스 구의DT,3232A145,37.54529839,127.0871967,1
스타벅스 자양사거리,3232A146,37.5371158,127.0825821,1
스타벅스 군자역,3232A147,37.55702607,127.0791098,1
스타벅스 광나루,3232A148,37.54737112,127.1060487,1
스타벅스 건대스타시티,3232A149,37.538544,127.073009,1
스타벅스 건대입구,3232A150,37.5406604,127.0707225,1
스타벅스 구의역,3232A151,37.53698,127.084015,1
스타벅스 광장,3232A152,37.54261258,127.0996405,1
스타벅스 건국클래식,3232A153,37.538466,127.071271,1
스타벅스 건대후문,3232A154,37.54603056,127.0738193,1
스타벅스 중곡역,3232A155,37.56505701,127.0844523,1
스타벅스 자양이마트,3232A156,37.537817,127.072597,1
스타벅스 자양역,3232A157,37.53268464,127.0678785,1
스타벅스 화양삼거리,3232A158,37.54774853,127.0712692,1
스타벅스 군자사거리,3232A159,37.55769507,127.0790879,1
스타벅스 금천구청역,3232A160,37.45588673,126.8956825,1
스타벅스 가산에스케이,3232A161,37.48082409,126.8810008,1
스타벅스 독산사거리,3232A162,37.47158263,126.8986055,1
스타벅스 금천시흥,3232A163,37.44875938,126.9032388,1
스타벅스 가산디지털단지역,3232A164,37.48135375,126.8835891,1
스타벅스 금천독산,3232A165,37.46957081,126.8956578,1
스타벅스 가산디지털,3232A166,37.47997009,126.8825072,1
스타벅스 마리오아울렛,3232A167,37.47860691,126.8848483,1
스타벅스 가산브이타워,3232A168,37.4770041,126.8835506,1
스타벅스 가산그레이트,3232A169,37.4795508,126.8872719,1
스타벅스 독산역,3232A170,37.46770967,126.887674,1
스타벅스 가산퍼블릭,3232A171,37.47574363,126.886848,1
스타벅스 가산현대아울렛,3232A172,37.47768044,126.8888406,1
스타벅스 가산케이에스,3232A173,37.48089352,126.8851557,1
스타벅스 가산어반워크,3232A174,37.48002317,126.878251,1
스타벅스 월계역,3232A175,37.6295,127.0574,1
스타벅스 월계트레이더스,3232A176,37.62800551,127.0613542,1
스타벅스 상계초교사거리,3232A177,37.656776,127.066442,1
스타벅스 공릉DT,3232A178,37.6206884,127.0743116,1
스타벅스 노원마들역,3232A179,37.66102597,127.0580777,1
스타벅스 공릉역,3232A180,37.626337,127.072252,1
스타벅스 은행사거리,3232A181,37.65048737,127.0759861,1
스타벅스 노원KT,3232A182,37.654562,127.063617,1
스타벅스 광운대,3232A183,37.6231479,127.0607009,1
스타벅스 중계역,3232A184,37.64817,127.062244,1
스타벅스 노원역,3232A185,37.654751,127.060034,1
스타벅스 월계이마트,3232A186,37.62710414,127.0620785,1
스타벅스 태릉입구역DT,3232A187,37.61942,127.07932,1
스타벅스 노원상계,3232A188,37.651535,127.061026,1
스타벅스 노원구청,3232A189,37.6539896,127.057755,1
스타벅스 창동이마트,3232A190,37.65165849,127.046866,1
스타벅스 쌍문역,3232A191,37.648456,127.034783,1
스타벅스 도봉구청,3232A192,37.66950348,127.046038,1
스타벅스 쌍문도봉로,3232A193,37.6453516,127.0331011,1
스타벅스 도봉로DT,3232A194,37.66118059,127.0416301,1
스타벅스 방학역,3232A195,37.6653125,127.0433125,1
스타벅스 창동역,3232A196,37.65450211,127.0496725,1
스타벅스 노량진동,3232A197,37.513068,126.946537,1
스타벅스 남성역,3232A198,37.4841198,126.9725739,1
스타벅스 상도역,3232A199,37.5031936,126.9484581,1
스타벅스 보라매공원R,3232A200,37.49191014,126.9235484,1
스타벅스 이수자이,3232A201,37.484414,126.980047,1
스타벅스 노량진역,3232A202,37.51339,126.940879,1
스타벅스 신대방삼거리역,3232A203,37.50034872,126.9319876,1
스타벅스 중앙대,3232A204,37.506933,126.958125,1
스타벅스 숭실대입구역,3232A205,37.4968346,126.9527123,1
스타벅스 숭실대,3232A206,37.49538073,126.9548891,1
스타벅스 사당역,3232A207,37.47849216,126.9813456,1
스타벅스 서강대프라자,3232A208,37.551073,126.943096,1
스타벅스 상암YTN,3232A209,37.57931427,126.8922104,1
